data set,log_g0,Gamma_t,u,alpha,temperature,log_n
-159.3,6.421716902052129,0.0050,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-157.6,6.226107292146254,0.0050,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-155.9,5.987782379643966,0.0100,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-154.2,7.519910368650281,0.0150,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-152.5,7.034221756784267,0.0200,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-150.8,6.8875712757063585,0.0200,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-149.1,6.838594624935001,0.0200,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-147.4,7.92191903497625,0.0250,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-145.7,8.177835688593952,0.0300,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-144.0,8.409696703742924,0.0400,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
-142.3,9.361233746844603,0.0700,0.333,0.8682637682684679,0.16775938782425898,3.193254275014209
