data set,log_g0,Gamma_t,u,alpha,temperature,log_n
0,6.289032142,0.01,0.416,0.606666656,0.066599918,6.537109998
1,5.46251599,0.01,0.416,0.606666656,0.066599918,6.537109998
2,6.269100407,0.0125,0.416,0.606666656,0.066599918,6.537109998
3,6.616075521,0.0175,0.416,0.606666656,0.066599918,6.537109998
4,6.98458701,0.025,0.416,0.606666656,0.066599918,6.537109998
5,7.608631632,0.03,0.416,0.606666656,0.066599918,6.537109998
6,8.18119719,0.04,0.416,0.606666656,0.066599918,6.537109998
7,9.761718289,0.045,0.416,0.606666656,0.066599918,6.537109998
8,9.363557743,0.07,0.416,0.606666656,0.066599918,6.537109998
9,9.359494498,0.06,0.416,0.606666656,0.066599918,6.537109998
10,8.697975041,0.055,0.416,0.606666656,0.066599918,6.537109998
