data set,log_g0,Gamma_t,u,alpha,temperature,log_n
-159.3,6.2540286404494605,0.01000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-157.6,7.755396469503572,0.01000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-155.9,5.743157452601306,0.01500,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-154.2,6.654485988287687,0.02250,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-152.5,6.753246221648645,0.02750,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-150.8,6.835499864156496,0.02750,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-149.1,6.8660000341001375,0.03000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-147.4,7.707498080405084,0.03000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-145.7,8.202792784038051,0.03500,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-144.0,9.364233307058672,0.10000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
-142.3,9.36406837490965,0.08000,0.416,0.8293305907675395,0.10589060536515607,6.092650989392042
