data set,log_g0,Gamma_t,u,alpha,temperature,log_n
-159.3,6.279244622437096,0.01000,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-157.6,7.669962157848218,0.01000,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-155.9,5.777087337360045,0.01500,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-154.2,6.694913324520709,0.02250,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-152.5,6.79804988271406,0.02750,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-150.8,6.917255234671724,0.02750,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-149.1,6.828517737657811,0.02750,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-147.4,7.770347968022222,0.03000,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-145.7,8.224051280068212,0.03250,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-144.0,8.108050155973368,0.04000,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
-142.3,9.363978215108732,0.07000,0.416,0.7964698592780537,0.09835440927138953,6.2893335843188165
