data set,log_g0,Gamma_t,u,alpha,temperature,log_n
00,6.108275724506854,0.01500,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
01,8.31836345093283,0.01375,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
02,6.068941326993921,0.01750,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
03,6.349354202374617,0.02625,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
04,6.8052170352846035,0.03750,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
05,7.426472178773207,0.04500,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
06,8.053848657589445,0.05500,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
07,9.831884535626667,0.06000,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
08,9.363741119889031,0.08000,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
09,9.357335063410337,0.07000,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
10,9.606386450162775,0.07000,0.333,0.5547402174300671,0.06070801507370006,13.890578294876393
