data set,log_g0,Gamma_t,u,alpha,temperature,log_n
00,6.289035502714858,0.01000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
01,5.462528914102958,0.01000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
02,6.2691047105744095,0.01250,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
03,6.616079337342571,0.01750,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
04,6.9845916262615155,0.02500,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
05,7.608636343032564,0.03000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
06,8.18119976352957,0.04000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
07,9.7617199449308,0.04500,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
08,9.363557697743044,0.07000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
09,9.359494263652802,0.06000,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
10,8.697954367335614,0.05500,0.416,0.6066666595458979,0.1003021203123085,6.537049010196188
