data set,log_g0,Gamma_t,u,alpha,temperature,log_n
00,6.1929118654860495,0.01000,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
01,5.025915332415209,0.01000,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
02,6.163053635960461,0.01125,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
03,6.441026195725505,0.01625,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
04,6.834898379348069,0.02250,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
05,7.4780014990327714,0.02750,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
06,8.03996802316319,0.03500,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
07,8.58975182408223,0.03875,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
08,9.363702605659661,0.06000,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
09,9.361030493142849,0.05250,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
10,8.744825965135439,0.04750,0.333,0.6338222487448623,0.0696348363666865,9.65529677195516
